"Permis_Numéro","Permis_Date_de_début","Permis_Date_de_fin","Gardien_Territoire_ex_villes","Animal_Type_de_permis","Animal_Nom","Animal_Catégorie_race_primaire_de_chiens","Animal_Race_primaire_des_chiens","Animal_Race_croisé_des_chiens","Animal_Sexe","Animal_Couleur","Animal_Date_de_naissance","Animal_Vaccination","Animal_Stérilisation","Animal_Poids_kg","Animal_Micropuce","Animal_Potentiellement_dangereux"
"176958","2019-05-30","2020-05-30","Fabreville","Chien","Cookie","Chiens nains","Caniche nain","","Mâle","Blanc","2015-12-05","0","1","7","1","0"
"172561","2019-03-20","2020-03-20","Sainte-Rose","Chien","Winston","Chiens de sport","Vizsla a poil lisse","","Mâle","rouille","2018-07-19","0","0","23","1","0"
"66697","2019-09-12","2020-09-12","Laval-des-Rapides","Chat","Zelda","","","","Femelle","Noir","2016-07-07","1","1","3","1","0"
"161622","2019-05-28","2020-05-28","Sainte-Dorothée","Chien","Lucky","Indéterminé","Pitbull","","Mâle","Beige","2017-10-13","0","1","7","1","0"
"67384","2019-07-30","2020-07-30","Sainte-Rose","Chat","Macha","","","","Femelle","Gris","2007-08-01","0","1","7","1","0"
"169223","2019-10-20","2020-10-20","Fabreville","Chien","Louis","Lévriers et chiens courants","Beagle","","Mâle","Brun, noir, blanc","2017-12-02","0","1","7,7","1","0"
"174737","2019-11-14","2020-11-13","Sainte-Dorothée","Chien","bailey","Terriers","Terrier du révérend Russell","","Femelle","blanc et brun","2017-11-19","0","1","11","1","0"
"176928","2019-06-07","2020-06-07","Pont-Viau","Chien","Biggie","Indéterminé","Pitbull","Autre","Mâle","Gris","2013-01-01","0","1","0","1","0"
"162777","2019-02-26","2020-02-25","Saint-Vincent-de-Paul","Chien","Bobby","Chiens de compagnie","Caniche moyen","","Mâle","blanc","2016-07-21","0","0","3,22","0","0"
"176571","2019-03-15","2020-03-14","Pont-Viau","Chien","Zelda","","Autre","Autre","Femelle","noir ","0000-00-00","0","1","0","1","0"
"60665","2019-04-18","2020-04-17","Sainte-Dorothée","Chat","Chanel","","","","Femelle","Tigré","2007-12-15","1","1","4,5","1","0"
"65198","2019-09-19","2020-09-19","Saint-Vincent-de-Paul","Chat","Todo","","","","Mâle","Gris tigré","2016-03-01","1","1","0","0","0"
"66509","2019-03-28","2020-03-28","Laval-Ouest","Chat","Blacky","","","","Mâle","Noir","2012-01-01","0","1","6,8","1","0"
"164304","2019-05-17","2020-05-17","Fabreville","Chien","Daisy","Chiens de sport","retriever labrador","Autre","Femelle","Blond","2010-06-18","1","1","34","1","0"
"162289","2020-01-08","2021-01-08","Sainte-Rose","Chien","Tucker","Chiens de berger","Berger Shetland","","Mâle","Gris/beige/blanc","2013-12-26","0","1","12","1","0"
"64442","2019-08-22","2020-08-22","Laval-des-Rapides","Chat","TiLou","","","Autre","Mâle","noir","2018-05-01","0","1","0","1","0"
"163576","2019-03-15","2020-03-15","Fabreville","Chien","Molly","Chiens nains","Terrier du Yorkshire","","Inconnu","Roux et gris","2011-01-01","0","1","2,5","0","0"
"161276","2019-01-18","2020-01-18","Fabreville","Chien","Mia","Chiens de compagnie","Shih Tzu","","Femelle","Beige/blanc","2016-09-14","0","1","6,8","1","0"
"61909","2019-08-23","2020-08-23","Duvernay","Chat","Frodon","","","","Mâle","Roux","2017-09-21","0","1","4","1","0"
"167160","2019-07-24","2020-07-24","Sainte-Rose","Chien","Grizzly","Chiens nains","Terrier du Yorkshire","","Mâle","Noir","2018-01-12","0","1","0","1","0"
"162736","2019-01-30","2020-01-29","Sainte-Dorothée","Chien","Tootsie","Chiens de sport","retriever labrador","Autre","Femelle","Noir","2013-07-18","1","1","30","1","0"
"160732","2019-01-31","2020-01-30","Laval-Ouest","Chien","Rex","Chiens de berger","Berger Allemand","","Mâle","Noir et feu","2013-09-01","1","1","45","1","0"
"68467","2019-11-29","2020-11-29","Sainte-Dorothée","Chat","Cafée","","","Autre","Femelle","Noire","2015-11-17","0","1","0","1","0"
"173641","2019-08-17","2020-08-17","Vimont","Chien","Nougat","Chiens de compagnie","Shih Tzu","Autre","Mâle","Gris","2006-03-03","1","1","5,44","0","0"
"67060","2019-06-13","2020-06-13","Chomedey","Chat","Charlotte","","","","Femelle","gris et blanc","2016-12-01","0","1","3,62","1","0"
"165428","2019-11-14","2020-11-14","Sainte-Dorothée","Chien","Sammy","Chiens nains","Terrier du Yorkshire","Caniche nain","Mâle","noir","2017-07-23","1","1","2,72","1","0"
"166452","2019-05-23","2020-05-22","Chomedey","Chien","Muscade","Lévriers et chiens courants","Dachshound teckel nain a poil court","Autre","Mâle","roux","2016-11-17","0","1","5,44","1","0"
"162420","2019-03-25","2020-03-23","Chomedey","Chien","Cooper","Chiens de sport","retriever labrador","Autre","Mâle","Brun","2009-01-01","1","1","12,2","0","0"
"67431","2019-05-04","2020-05-03","Vimont","Chat","Iron","","","Autre","Mâle","gris et blanc","2016-01-01","0","0","0","1","0"
"170130","2019-09-18","2020-09-18","Fabreville","Chien","Léo","Chiens de travail","Bouvier bernois","","Mâle","Noir et blanc","2081-12-22","0","1","27,2","1","0"
"176933","2019-06-07","2020-06-07","Laval-des-Rapides","Chien","Billy","Chiens nains","chihuahua a poil court","poméranien","Mâle","Blanc","2012-09-10","0","0","7","0","0"
"68222","2019-10-28","2020-10-28","Laval-des-Rapides","Chat","Nala","","","Autre","Femelle","Caramel","2019-07-09","1","0","0","0","0"
"63810","2019-12-20","2020-12-19","Auteuil","Chat","Samson","","","","Mâle","Brun (Bengal)","2011-11-06","0","1","4,5","1","0"
"67065","2019-06-14","2020-06-12","Fabreville","Chat","Sam","","","Autre","Mâle","noir caramel","2008-11-11","0","1","7","1","0"
"173088","2019-05-12","2020-05-11","Fabreville","Chien","Bella","Chiens de compagnie","Shih Tzu","Autre","Femelle","blanc et noir","2011-01-01","0","0","5","1","0"
"174201","2019-09-20","2020-09-20","Chomedey","Chien","Scott","Chiens de sport","retriever labrador","Autre","Mâle","Roux","2012-01-20","0","1","28","1","0"
"172979","2019-05-24","2020-05-24","Fabreville","Chien","Koko","Chiens nains","chihuahua a poil court","","Mâle","Brun","2007-01-01","1","0","4","0","0"
"66689","2019-09-11","2020-09-11","Sainte-Dorothée","Chat","Caramel","","","Autre","Mâle","Roux","2006-09-21","1","1","6","1","0"
"173141","2019-05-27","2020-05-27","Saint-Vincent-de-Paul","Chien","Captain","Terriers","Americain de Staffordshire","Autre","Mâle","Bringé","2016-01-02","0","1","34","0","0"
"63183","2019-06-12","2020-06-12","Duvernay","Chat","Peggy","","","","Femelle","Tricolore","2008-07-04","0","1","4,1","1","0"
"63845","2019-03-25","2020-03-25","Fabreville","Chat","Toxedo","","","","Mâle","Blanc","2007-01-01","0","1","3,5","1","0"
"169236","2019-08-14","2020-08-14","Fabreville","Chien","Balou","Chiens nains","Carlin","chihuahua a poil court","Mâle","Noir","2014-02-03","0","1","9,1","1","0"
"177166","2019-06-17","2020-06-16","Chomedey","Chien","Bailey","Indéterminé","Pitbull","","Femelle","Blanc beige","2016-08-28","0","1","0","0","0"
"67791","2019-06-16","2020-06-16","Laval-Ouest","Chat","Sunny","","","Autre","Mâle","Gris-blanc","2016-07-20","1","1","5","1","0"
